  PYTHIA EVENT FILE 
 ============================================
I, ievent, genevent, subprocess, nucleon,                 targetparton, xtargparton, beamparton, xbeamparton,               thetabeamprtn, truey, trueQ2, truex, trueW2, trueNu, leptonphi,   s_hat, t_hat, u_hat, pt2_hat, Q2_hat, F2, F1, R, sigma_rad,       SigRadCor, EBrems, photonflux, t-diff, nrTracks
 ============================================
  I  K(I,1)  K(I,2)  K(I,3)  K(I,4)  K(I,5)            P(I,1)  P(I,2)  P(I,3)  P(I,4)  P(I,5)  V(I,1)  V(I,2)  V(I,3)
 ============================================
   0          1    1   99 2212         -4  0.012570           22     0.948683     0.000000      0.31094973662       31.26930419406        0.01256980281     2457.26367187500     1325.65930175781        3.08330475421     2211.53731874763       -1105.768659374       -1105.768659374           0.000000000          31.269304194           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.266402228       -1105.768659374             63
 ============================================
    19      1       -211       11        0        0       -0.049733        0.211322       53.520795       53.521417        0.139570        0.000000        0.000000        0.000000
    20     11         92       13       21       30       -1.661281       -9.513319        4.425064       21.258136       18.413692        0.000000        0.000000        0.000000
    21     11       2214       20       31       32        0.634006        0.006463        5.940753        6.111303        1.285875        0.000000        0.000000        0.000000
    22     11        221       20       33       35       -0.477912       -2.128956        3.111361        3.839417        0.547450        0.000000        0.000000        0.000000
    23     11        223       20       36       38       -0.408431       -1.231228        0.332075        1.559242        0.798889        0.000000        0.000000        0.000000
    24      1      -2112       20        0        0       -0.053769       -0.748072        0.399589        1.266873        0.939570        0.000000        0.000000        0.000000
    25      1       2112       20        0        0       -0.591115       -1.287435       -1.289767        2.133822        0.939570        0.000000        0.000000        0.000000
    26     11        111       20       39       40        0.228110       -0.196689       -0.149122        0.362185        0.134980        0.000000        0.000000        0.000000
    27     11        221       20       41       43       -0.249340       -0.251247       -0.522081        0.835204        0.547450        0.000000        0.000000        0.000000
    28      1        211       20        0        0       -0.170499       -1.375597       -1.152880        1.808300        0.139570        0.000000        0.000000        0.000000
    29      1       -211       20        0        0       -0.317712       -0.986198       -1.010842        1.454238        0.139570        0.000000        0.000000        0.000000
    30     11       -311       20       44       44       -0.254619       -1.314359       -1.234021        1.887552        0.497670        0.000000        0.000000        0.000000
    31      1       2112       21        0        0        0.487461        0.277976        4.455901        4.588326        0.939570        0.000000        0.000000        0.000000
    32      1        211       21        0        0        0.146545       -0.271512        1.484852        1.522977        0.139570        0.000000        0.000000        0.000000
    33      1        211       22        0        0       -0.227876       -0.692109        0.866599        1.140796        0.139570        0.000000        0.000000        0.000000
    34      1       -211       22        0        0       -0.181924       -0.656733        1.184226        1.373414        0.139570        0.000000        0.000000        0.000000
    35     11        111       22       45       46       -0.068112       -0.780114        1.060535        1.325206        0.134980        0.000000        0.000000        0.000000
    36      1        211       23        0        0       -0.331155       -0.824919        0.062755        0.901983        0.139570        0.000000        0.000000        0.000000
    37      1       -211       23        0        0       -0.061008       -0.162225       -0.054964        0.229216        0.139570        0.000000        0.000000        0.000000
    38     11        111       23       47       48       -0.016267       -0.244084        0.324284        0.428043        0.134980        0.000000        0.000000        0.000000
    39      1         22       26        0        0        0.215356       -0.156799       -0.074497        0.276612        0.000000        0.000192       -0.000165       -0.000125
    40      1         22       26        0        0        0.012754       -0.039890       -0.074625        0.085573        0.000000        0.000192       -0.000165       -0.000125
    41     11        111       27       49       50       -0.164401       -0.041304       -0.157858        0.268091        0.134980        0.000000        0.000000        0.000000
    42     11        111       27       51       52       -0.132700       -0.098538       -0.312604        0.378497        0.134980        0.000000        0.000000        0.000000
    43     11        111       27       53       54        0.047761       -0.111405       -0.051619        0.188617        0.134980        0.000000        0.000000        0.000000
    44      1        130       30        0        0       -0.254619       -1.314359       -1.234021        1.887552        0.497670        0.000000        0.000000        0.000000
    45      1         22       35        0        0       -0.105357       -0.453525        0.640167        0.791580        0.000000       -0.000001       -0.000009        0.000013
    46      1         22       35        0        0        0.037245       -0.326590        0.420367        0.533626        0.000000       -0.000001       -0.000009        0.000013
    47      1         22       38        0        0       -0.024059       -0.026938        0.135408        0.140142        0.000000       -0.000002       -0.000036        0.000048
    48      1         22       38        0        0        0.007792       -0.217146        0.188876        0.287901        0.000000       -0.000002       -0.000036        0.000048
    49      1         22       41        0        0        0.011434        0.002163        0.014137        0.018311        0.000000       -0.000018       -0.000005       -0.000017
